trial;TrialRound;setup;obj;trt_mix;trt_size;obj_pos_ID;fruit id;d1_mm;d2_mm;h_mm;w_g;ref_mm;H_lvl_from_top;zone;REAL_x_obj_mm;REAL_Z_lvl_mm;REAL_Z_obj_offset_mm;REAL_z_obj_mm;cam_dist_mm(REAL_Y);REAL_y_obj(i.e.,_offset_mm);cam_h1;cam_h2;cam_h3;cam_d1;cam_d2;cam_d3
TB_err_map;r0;2d;tball;;tball;1;;65.6;65.6;65.6;;65.6;1;L;-500;2000;-80;1885.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;4;;65.58;65.58;65.58;;65.58;2;L;-500;1700;-80;1585.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;7;;65.505;65.505;65.505;;65.505;3;L;-500;1400;-80;1285.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;10;;65.66;65.66;65.66;;65.66;4;L;-500;1100;-80;985.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;13;;66.08;66.08;66.08;;66.08;5;L;-500;800;-80;685.0;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;2;;65.6;65.6;65.6;;65.6;1;M;0;2000;-80;1885.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;5;;65.58;65.58;65.58;;65.58;2;M;0;1700;-80;1585.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;8;;65.505;65.505;65.505;;65.505;3;M;0;1400;-80;1285.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;11;;65.66;65.66;65.66;;65.66;4;M;0;1100;-80;985.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;14;;66.08;66.08;66.08;;66.08;5;M;0;800;-80;685.0;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;3;;65.6;65.6;65.6;;65.6;1;R;500;2000;-80;1885.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;6;;65.58;65.58;65.58;;65.58;2;R;500;1700;-80;1585.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;9;;65.505;65.505;65.505;;65.505;3;R;500;1400;-80;1285.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;12;;65.66;65.66;65.66;;65.66;4;R;500;1100;-80;985.2;1516;-40;1100;;;;;
TB_err_map;r0;2d;tball;;tball;15;;66.08;66.08;66.08;;66.08;5;R;500;800;-80;685.0;1516;-40;1100;;;;;
Size_Pos;r1;2d;Apple;n;big;1;27;69.09;67.14;59.79;143.5971;65.34;1;L;-500;2000;-80;1888.1;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;2;33;64.63;62.05;53.76;113.0503;60.14666667;1;M;0;2000;-80;1891.1;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;3;21;69.87;68.44;63.17;157.5844;67.16;1;R;500;2000;-80;1886.4;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;4;32;65.08;63.17;58.31;130.6012;62.18666667;2;L;-500;1700;-80;1588.8;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;5;25;64.64;63.48;61.45;121.0674;63.19;2;M;0;1700;-80;1587.3;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;6;2;61.15;55.79;52.43;102.3003;56.45666667;2;R;500;1700;-80;1591.8;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;7;14;66.58;65.81;58.19;136.3558;63.52666667;3;L;-500;1400;-80;1288.9;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;8;12;64.66;62.38;55.6;116.6869;60.88;3;M;0;1400;-80;1290.2;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;9;6;64.86;59.94;58.18;117.0969;60.99333333;3;R;500;1400;-80;1288.9;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;10;31;63.36;59.15;55.07;105.376;59.19333333;4;L;-500;1100;-80;990.5;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;11;4;61.73;60.82;55.51;109.0106;59.35333333;4;M;0;1100;-80;990.2;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;12;1;64.36;61.15;55.79;109.5162;60.43333333;4;R;500;1100;-80;990.1;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;13;9;62.84;61.24;55.47;108.4723;59.85;5;L;-500;800;-80;690.3;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;14;24;64.12;64.31;59.33;117.4263;62.58666667;5;M;0;800;-80;688.3;1516;-40;;;;;;
Size_Pos;r1;2d;Apple;n;big;15;28;64.18;63.25;55.56;118.0496;60.99666667;5;R;500;800;-80;690.2;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;1;35;57.18;57.59;52.25;91.84;55.67333333;1;L;-500;2000;-80;1891.9;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;2;6;59.32;56.85;50.77;89.34;55.64666667;1;M;0;2000;-80;1892.6;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;3;4;59.79;57.79;51.98;92.67;56.52;1;R;500;2000;-80;1892.0;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;4;31;57.87;57.12;52.73;89.94;55.90666667;2;L;-500;1700;-80;1591.6;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;5;32;56.16;54.94;49.16;84.22;53.42;2;M;0;1700;-80;1593.4;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;6;23;60.8;57.9;53.61;102.13;57.43666667;2;R;500;1700;-80;1591.2;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;7;2;61.05;58.45;49.82;93.14;56.44;3;L;-500;1400;-80;1293.1;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;8;15;56.18;55.61;47.73;77.49;53.17333333;3;M;0;1400;-80;1294.1;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;9;17;59.86;55.96;52.34;89.81;56.05333333;3;R;500;1400;-80;1291.8;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;10;38;58.11;57.33;50.54;89.41;55.32666667;4;L;-500;1100;-80;992.7;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;11;1;58.82;59.52;52.47;98.09;56.93666667;4;M;0;1100;-80;991.8;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;12;16;59.46;56.49;54.2;93.19;56.71666667;4;R;500;1100;-80;990.9;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;13;8;60.23;57.2;48.47;95.9;55.3;5;L;-500;800;-80;693.8;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;14;28;59.11;59.03;54.7;97.61;57.61333333;5;M;0;800;-80;690.7;1516;-40;;;;;;
Size_Pos;r2;2d;Apple;n;med;15;29;61.34;60.96;53.24;106.72;58.51333333;5;R;500;800;-80;691.4;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;1;40;48.45;49.16;41.8;54.79;46.47;1;L;-500;2000;-80;1897.1;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;2;23;47.31;47.22;40.08;50.52;44.87;1;M;0;2000;-80;1898.0;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;3;27;47.92;46.56;46.39;55.1;46.95666667;1;R;500;2000;-80;1894.8;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;4;10;50.74;51.59;45.33;66.23;49.22;2;L;-500;1700;-80;1595.3;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;5;22;53.3;52.74;55.99;82.53;54.01;2;M;0;1700;-80;1590.0;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;6;20;53.7;53.74;53.64;76.57;53.69333333;2;R;500;1700;-80;1591.2;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;7;19;55.68;55.69;50.54;78.61;53.97;3;L;-500;1400;-80;1292.7;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;8;17;55.55;53.74;49.24;74.31;52.84333333;3;M;0;1400;-80;1293.4;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;9;30;50.8;51.76;51.07;70.8;51.21;3;R;500;1400;-80;1292.5;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;10;29;49.53;47.05;44.03;55.46;46.87;4;L;-500;1100;-80;996.0;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;11;25;47.74;47.86;44.85;55.12;46.81666667;4;M;0;1100;-80;995.6;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;12;18;52.95;51.25;47.95;64.17;50.71666667;4;R;500;1100;-80;994.0;1516;-40;;;;;;
Size_Pos;r3;2d;Apple;n;small;13;7;53.48;48.31;47.39;70.42;49.72666667;5;L;-500;800;-80;694.3;1516;-40;;;;;;
