name;Label;obj_posID;fruit_camera_d_mm;Fr_Cam_d_med_mm;Fr_Cam_d_mean_mm;pix_mm;real_x_distance_mm;real_y_distance_mm;real_z_distance_mm
Mix_3d_apple_tball_Black_img_0.png.;Tennis_ball;1;1475;1462;1461;1.042485;-500;-53;1856
Mix_3d_apple_tball_Black_img_0.png.;Apple;2;1428;1453;1457;1.036067;0;-100;1837
Mix_3d_apple_tball_Black_img_0.png.;Apple;3;1437;1444;1441;1.02965;483;-91;1816
Mix_3d_apple_tball_Black_img_0.png.;Apple;4;1481;1465;1463;1.044624;-496;-47;1541
Mix_3d_apple_tball_Black_img_0.png.;Apple;5;1462;1472;1476;1.049615;-3;-66;1557
Mix_3d_apple_tball_Black_img_0.png.;Apple;6;1453;1472;1474;1.049615;492;-75;1559
Mix_3d_apple_tball_Black_img_0.png.;Apple;7;1465;1481;1461;1.056033;-502;-63;1266
Mix_3d_apple_tball_Black_img_0.png.;Tennis_ball;8;1494;1484;1485;1.058172;-1;-34;1268
Mix_3d_apple_tball_Black_img_0.png.;Apple;9;1484;1478;1479;1.053894;490;-44;1253
Mix_3d_apple_tball_Black_img_0.png.;Apple;10;1472;1478;1481;1.053894;-498;-56;964
Mix_3d_apple_tball_Black_img_0.png.;Apple;11;1459;1478;1485;1.053894;-2;-69;947
Mix_3d_apple_tball_Black_img_0.png.;Apple;12;1447;1472;1474;1.049615;485;-81;953
Mix_3d_apple_tball_Black_img_0.png.;Apple;13;1497;1491;1491;1.063163;-507;-31;661
Mix_3d_apple_tball_Black_img_0.png.;Apple;14;1497;1497;1501;1.067442;-4;-31;667
Mix_3d_apple_tball_Black_img_0.png.;Tennis_ball;15;1511;1497;1495;1.067442;494;-17;665
Mix_3d_apple_tball_Black_img_0.png.;Apple;16;1217;1232;1347;0.878482;-201;-311;1705
Mix_3d_apple_tball_Black_img_0.png.;Apple;17;1215;1219;1351;0.869213;131;-313;1701
Mix_3d_apple_tball_Black_img_0.png.;Apple;18;1405;1408;1416;1.00398;-200;-123;1557
Mix_3d_apple_tball_Black_img_0.png.;Tennis_ball;19;1002;998;1086;0.711628;291;-526;1251
Mix_3d_apple_tball_Black_img_0.png.;Apple;20;1549;1121;1255;0.799334;-89;21;1042
