image,setup,Trunk-Cam_dist[mm],ObjType,Position,ObjSizeX,ObjSizeY,ObjSizeZ,Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_3_5_0.png,2D,1770.0,Apple,3,0.065,0.065,0.065,-0.033,1.57,0.057,-0.267,0.138,0.348,1.9600000000000002,1.4787156589419077
color_3_5_0.png,2D,1770.0,Apple,2,0.065,0.065,0.065,0.032,1.566,0.108,0.168,0.01,0.708,2.3000000000000003,1.6772596698186004
color_3_5_0.png,2D,1770.0,Apple,3,0.065,0.065,0.065,-0.033,1.57,0.057,-0.068,0.057,1.128,2.62,1.8511077764409072
color_3_4_0.png,2D,1657.0,Apple,3,0.065,0.065,0.065,-0.01,1.472,0.068,-0.068,-0.03,0.438,1.9300000000000002,1.546124186474036
color_3_4_0.png,2D,1657.0,Apple,2,0.065,0.065,0.065,0.025,1.48,0.098,0.168,0.0,0.648,2.1799999999999997,1.5860012610335465
color_3_4_0.png,2D,1657.0,Apple,1,0.065,0.065,0.065,0.055,1.48,0.148,-0.068,0.068,0.958,2.35,1.6312878348102764
color_3_6_0.png,2D,1682.0,Apple,3,0.065,0.065,0.065,-0.036,1.5,0.038,-0.267,0.05,0.208,1.8499999999999999,1.4779377524104322
color_3_6_0.png,2D,1682.0,Apple,2,0.065,0.065,0.065,0.032,1.49,0.108,0.168,-0.057,0.768,2.35,1.690473306503241
color_3_6_0.png,2D,1682.0,Apple,1,0.065,0.065,0.065,-0.022,1.518,0.158,-0.168,0.128,1.018,2.4,1.6414018398917434
color_3_1_0.png,2D,1835.0,Apple,3,0.065,0.065,0.065,-0.02,1.636,0.068,-0.068,-0.01,0.458,2.09,1.6962016389568781
color_3_1_0.png,2D,1835.0,Apple,2,0.065,0.065,0.065,0.04,1.632,0.108,0.267,-0.057,0.788,2.6,1.8361372497719226
color_3_1_0.png,2D,1835.0,Apple,1,0.065,0.065,0.065,-0.023,1.636,0.198,-0.068,-0.02,1.348,2.8600000000000003,2.0200495043438913
color_3_8_0.png,2D,1725.0,Apple,3,0.065,0.065,0.065,-0.007,1.53,0.048,-0.068,0.048,0.308,1.8,1.5038616957685969
color_3_8_0.png,2D,1725.0,Apple,2,0.065,0.065,0.065,-0.028,1.544,0.088,-0.267,0.168,0.578,2.1,1.4746525014388985
color_3_8_0.png,2D,1725.0,Apple,1,0.065,0.065,0.065,-0.037,1.534,0.158,-0.468,0.048,1.078,2.83,1.7949094684690925
color_3_7_0.png,2D,1694.0,Apple,3,0.065,0.065,0.065,0.044,1.508,0.068,0.267,0.048,0.377,2.0,1.5101655538383862
color_3_7_0.png,2D,1694.0,Apple,2,0.065,0.065,0.065,0.0,1.514,0.108,0.0,0.138,0.628,1.8900000000000001,1.4653668482670135
color_3_7_0.png,2D,1694.0,Apple,1,0.065,0.065,0.065,-0.034,1.51,0.178,-0.168,0.158,1.138,2.45,1.6624379687675568
color_3_2_0.png,2D,1813.0,Apple,3,0.065,0.065,0.065,0.06,1.618,0.057,0.368,0.04,0.387,2.22,1.6435936237403699
color_3_2_0.png,2D,1813.0,Apple,2,0.065,0.065,0.065,-0.019,1.644,0.118,-0.068,0.318,0.718,1.9699999999999998,1.4508273501695503
color_3_2_0.png,2D,1813.0,Apple,1,0.065,0.065,0.065,-0.028,1.63,0.168,-0.168,0.208,1.078,2.47,1.6923652088128023
color_3_3_0.png,2D,1625.0,Apple,3,0.065,0.065,0.065,0.042,1.44,0.057,0.267,0.068,0.387,1.93,1.4278305221559036
color_3_3_0.png,2D,1625.0,Apple,2,0.065,0.065,0.065,0.025,1.449,0.098,0.068,0.108,0.688,1.98,1.4649914675519442
color_3_3_0.png,2D,1625.0,Apple,1,0.065,0.065,0.065,0.055,1.444,0.158,0.368,0.038,1.058,2.61,1.6929559947027566
color_4_6_0.png,3D,2654.0,Apple,3,0.065,0.065,0.065,0.038,2.396,0.06,0.267,0.418,0.408,2.56,2.023808291316151
color_4_6_0.png,3D,2654.0,Apple,2,0.065,0.065,0.065,0.06,2.43,0.108,0.267,0.768,0.738,2.5,1.7879038005440897
color_4_6_0.png,3D,2654.0,Apple,1,0.065,0.065,0.065,0.07,2.418,0.198,0.668,0.668,1.428,3.58,2.221576017155389
color_4_8_0.png,3D,2628.0,Apple,3,0.065,0.065,0.065,0.046,2.378,0.048,0.168,0.198,0.318,2.57,2.1999318171252487
color_4_8_0.png,3D,2628.0,Apple,2,0.065,0.065,0.065,-0.044,2.4,0.168,-0.368,0.318,1.168,3.41,2.3313729860320507
color_4_8_0.png,3D,2628.0,Apple,1,0.065,0.065,0.065,-0.039,2.375,0.198,-0.568,-0.03,1.558,4.3,2.817552129065228
color_4_2_0.png,3D,2702.0,Apple,2,0.065,0.065,0.065,-0.046,2.458,0.108,0.0,0.818,0.778,2.3600000000000003,1.7722866585290316
color_4_2_0.png,3D,2702.0,Apple,3,0.065,0.065,0.065,0.0,2.442,0.078,0.468,0.538,0.548,2.8400000000000003,2.0129083436659503
color_4_2_0.png,3D,2702.0,Apple,1,0.065,0.065,0.065,0.04,2.438,0.267,0.267,0.718,1.938,3.62,2.4083604381404373
color_4_3_0.png,3D,2825.0,Apple,3,0.065,0.065,0.065,-0.008,2.566,0.048,-0.068,0.588,0.368,2.36,2.0065891457894414
color_4_3_0.png,3D,2825.0,Apple,2,0.065,0.065,0.065,-0.005,2.552,0.128,0.0,0.438,0.968,2.9499999999999997,2.271057022621845
color_4_3_0.png,3D,2825.0,Apple,1,0.065,0.065,0.065,-0.053,2.552,0.208,-0.267,0.648,1.478,3.39,2.295931183637698
color_4_7_0.png,3D,2583.0,Apple,3,0.065,0.065,0.065,-0.02,2.342,0.057,-0.267,0.377,0.338,2.49,1.9956202043475104
color_4_7_0.png,3D,2583.0,Apple,2,0.065,0.065,0.065,0.005,2.354,0.128,-0.068,0.448,0.768,2.6100000000000003,2.006115649707165
color_4_7_0.png,3D,2583.0,Apple,1,0.065,0.065,0.065,-0.008,2.347,0.178,-0.168,0.308,1.198,3.22,2.2863945416309934
color_4_4_0.png,3D,2727.0,Apple,2,0.065,0.065,0.065,0.02,2.489,0.118,0.068,0.818,0.798,2.4000000000000004,1.8038292602128398
color_4_4_0.png,3D,2727.0,Apple,1,0.065,0.065,0.065,-0.057,2.454,0.218,-0.267,0.548,1.648,3.54,2.3872578411223198
color_4_5_0.png,3D,2698.0,Apple,3,0.065,0.065,0.065,0.029,2.532,0.068,0.068,0.548,0.288,2.2399999999999993,1.9925862591115093
color_4_5_0.png,3D,2698.0,Apple,2,0.065,0.065,0.065,0.025,2.502,0.148,0.068,0.397,0.898,2.9,2.2304708023195463
color_4_5_0.png,3D,2698.0,Apple,1,0.065,0.065,0.065,-0.012,2.508,0.228,-0.068,0.468,1.428,3.3,2.367530358833863
color_4_1_0.png,3D,2801.0,Apple,3,0.065,0.065,0.065,0.005,2.546,0.06,0.0,0.628,0.228,2.09,1.9275113488641253
color_4_1_0.png,3D,2801.0,Apple,2,0.065,0.065,0.065,-0.003,2.538,0.078,-0.068,0.648,0.578,2.46,1.9562719647329203
color_4_1_0.png,3D,2801.0,Apple,1,0.065,0.065,0.065,0.02,2.557,0.218,0.0,1.128,1.428,2.66,1.873339264522046
