image,setup,Trunk-Cam_dist[mm],ObjType,Position,ObjSizeX,ObjSizeY,ObjSizeZ,Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_3_1_0.png,2D,1835.0,Apple,3,0.065,0.065,0.065,0.168,0.04,0.938,0.168,-0.01,0.998,0.11000000000000006,0.07810249675906658
color_3_1_0.png,2D,1835.0,Apple,2,0.065,0.065,0.065,-0.368,0.0,1.368,-0.468,-0.057,1.448,0.23999999999999982,0.1414213562373094
color_3_1_0.png,2D,1835.0,Apple,1,0.065,0.065,0.065,0.198,0.03,2.258,0.168,-0.02,2.318,0.14000000000000007,0.0836660026534076
color_3_2_0.png,2D,1813.0,Apple,3,0.065,0.065,0.065,-0.568,0.02,0.868,-0.468,0.04,0.928,0.18000000000000005,0.11832159566199232
color_3_2_0.png,2D,1813.0,Apple,2,0.065,0.065,0.065,0.158,0.257,1.448,0.168,0.318,1.608,0.23000000000000015,0.17117242768623703
color_3_2_0.png,2D,1813.0,Apple,1,0.065,0.065,0.065,0.248,0.117,1.997,0.267,0.208,2.077,0.19000000000000009,0.12206555615733708
color_3_3_0.png,2D,1625.0,Apple,3,0.065,0.065,0.065,-0.387,0.147,0.868,-0.368,0.068,0.968,0.19999999999999998,0.1296148139681572
color_3_3_0.png,2D,1625.0,Apple,2,0.065,0.065,0.065,-0.218,0.228,1.308,-0.168,0.108,1.438,0.2999999999999999,0.18384776310850226
color_3_3_0.png,2D,1625.0,Apple,1,0.065,0.065,0.065,-0.518,0.177,1.868,-0.468,0.038,1.938,0.2599999999999999,0.16431676725154978
color_3_4_0.png,2D,1657.0,Apple,3,0.065,0.065,0.065,0.068,0.058,0.928,0.068,-0.03,0.948,0.1099999999999999,0.09219544457292884
color_3_4_0.png,2D,1657.0,Apple,2,0.065,0.065,0.065,-0.218,0.138,1.228,-0.267,0.0,1.278,0.24000000000000007,0.15684387141358125
color_3_4_0.png,2D,1657.0,Apple,1,0.065,0.065,0.065,-0.518,0.148,1.728,0.068,0.068,1.808,0.7500000000000001,0.6007495318350237
color_3_5_0.png,2D,1770.0,Apple,3,0.065,0.065,0.065,0.298,0.04,0.868,0.368,0.138,0.938,0.23999999999999996,0.1407124727947029
color_3_5_0.png,2D,1770.0,Apple,2,0.065,0.065,0.065,-0.288,0.0,1.378,-0.267,0.01,1.378,0.029999999999999964,0.022360679774997862
color_3_5_0.png,2D,1770.0,Apple,3,0.065,0.065,0.065,0.298,0.04,0.868,0.068,0.057,2.057,1.44,1.2121881042148532
