image,setup,Trunk-Cam_dist[mm],ObjType,Position,FSize[1],FSize[2],FSize[3],Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_1_0.png,2D,1549.0,Apple,1,0.06909,0.06714,0.059789999999999996,0.465,0.072,1.86,0.465,0.06,1.91,0.05999999999999983,0.050990195135927674
color_1_1_0.png,2D,1549.0,Apple,2,0.06462999999999999,0.062049999999999994,0.053759999999999995,0.0,0.072,1.863,0.0,0.06,1.913,0.05999999999999983,0.050990195135927674
color_1_1_0.png,2D,1549.0,Apple,3,0.06987,0.06844,0.06317,-0.465,0.073,1.858,-0.465,0.036,1.878,0.0499999999999998,0.036055512754639786
color_1_1_0.png,2D,1549.0,Apple,4,0.06508,0.06317,0.05831,0.467,0.072,1.561,0.467,0.05,1.601,0.06000000000000004,0.04472135954999583
color_1_1_0.png,2D,1549.0,Apple,5,0.06464,0.06348,0.061450000000000005,0.0,0.073,1.559,0.0,0.06,1.609,0.06000000000000005,0.050990195135927896
color_1_1_0.png,2D,1549.0,Apple,6,0.061149999999999996,0.05579,0.05243,-0.469,0.073,1.564,-0.469,0.062,1.594,0.040000000000000036,0.03162277660168382
color_1_1_0.png,2D,1549.0,Apple,7,0.06658,0.06581000000000001,0.05819,0.467,0.072,1.261,0.467,0.04,1.301,0.07000000000000003,0.05000000000000003
color_1_1_0.png,2D,1549.0,Apple,8,0.06466,0.062380000000000005,0.055600000000000004,0.0,0.072,1.262,0.0,0.06,1.312,0.06000000000000005,0.050990195135927896
color_1_1_0.png,2D,1549.0,Apple,9,0.06486,0.05994,0.05818,-0.468,0.073,1.261,-0.468,0.04,1.291,0.06000000000000003,0.042426406871192875
color_1_1_0.png,2D,1549.0,Apple,10,0.06336,0.05915,0.05507,0.468,0.073,0.962,0.468,0.03,0.992,0.07000000000000003,0.050000000000000024
color_1_1_0.png,2D,1549.0,Apple,11,0.06173,0.06082,0.05551,0.0,0.073,0.962,0.0,0.05,0.982,0.04000000000000002,0.028284271247461915
color_1_1_0.png,2D,1549.0,Apple,12,0.06436,0.061149999999999996,0.05579,-0.468,0.072,0.962,-0.468,0.06,0.992,0.040000000000000036,0.03162277660168382
color_1_1_0.png,2D,1549.0,Apple,13,0.06284000000000001,0.06124,0.05547,0.469,0.072,0.662,0.469,0.03,0.662,0.04000000000000001,0.04000000000000001
color_1_1_0.png,2D,1549.0,Apple,14,0.06412000000000001,0.06431,0.05933,0.0,0.072,0.66,0.0,0.04,0.68,0.050000000000000024,0.036055512754639904
color_1_1_0.png,2D,1549.0,Apple,15,0.06418,0.06325,0.055560000000000005,-0.468,0.071,0.662,-0.468,0.06,0.692,0.039999999999999925,0.031622776601683715
color_1_1_1.png,2D,1535.0,Apple,1,0.06909,0.06714,0.059789999999999996,0.465,0.058,1.86,0.465,0.036,1.9,0.05999999999999981,0.04472135954999563
color_1_1_1.png,2D,1535.0,Apple,2,0.06462999999999999,0.062049999999999994,0.053759999999999995,0.0,0.058,1.863,0.0,0.06,1.903,0.039999999999999813,0.039999999999999813
color_1_1_1.png,2D,1535.0,Apple,3,0.06987,0.06844,0.06317,-0.465,0.059,1.858,-0.465,0.06,1.888,0.029999999999999805,0.029999999999999805
color_1_1_1.png,2D,1535.0,Apple,4,0.06508,0.06317,0.05831,0.467,0.058,1.561,0.467,0.06,1.591,0.030000000000000027,0.030000000000000027
color_1_1_1.png,2D,1535.0,Apple,5,0.06464,0.06348,0.061450000000000005,0.0,0.059,1.559,0.0,0.06,1.599,0.040000000000000036,0.040000000000000036
color_1_1_1.png,2D,1535.0,Apple,6,0.061149999999999996,0.05579,0.05243,-0.469,0.059,1.564,-0.469,0.042,1.594,0.050000000000000024,0.03605551275463991
color_1_1_1.png,2D,1535.0,Apple,7,0.06658,0.06581000000000001,0.05819,0.467,0.058,1.261,0.467,0.03,1.301,0.07000000000000003,0.05000000000000003
