image,setup,Trunk-Cam_dist[mm],ObjType,Position,ObjSizeX,ObjSizeY,ObjSizeZ,Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_3_5_0.png,2D,1770.0,Apple,3,0.065,0.065,0.065,-0.298,1.736,0.868,-0.267,0.138,0.218,2.2800000000000002,1.7272521529875133
color_3_5_0.png,2D,1770.0,Apple,2,0.065,0.065,0.065,0.288,1.736,1.378,0.168,0.01,0.578,2.65,1.9097905644337025
color_3_5_0.png,2D,1770.0,Apple,3,0.065,0.065,0.065,-0.298,1.736,0.868,-0.068,0.057,1.008,2.05,1.7014405661086136
color_3_4_0.png,2D,1657.0,Apple,3,0.065,0.065,0.065,-0.068,1.623,0.928,-0.068,-0.03,0.308,2.2700000000000005,1.7626400653565097
color_3_4_0.png,2D,1657.0,Apple,2,0.065,0.065,0.065,0.218,1.623,1.228,0.168,0.0,0.518,2.38,1.769463195435271
color_3_4_0.png,2D,1657.0,Apple,1,0.065,0.065,0.065,0.518,1.623,1.728,-0.068,0.068,0.828,3.04,1.8869552193944614
color_3_6_0.png,2D,1682.0,Apple,3,0.065,0.065,0.065,-0.328,1.648,0.628,-0.267,0.05,0.088,2.2,1.6897337068307536
color_3_6_0.png,2D,1682.0,Apple,2,0.065,0.065,0.065,0.288,1.648,1.418,0.168,-0.057,0.648,2.5999999999999996,1.8792019582790989
color_3_6_0.png,2D,1682.0,Apple,1,0.065,0.065,0.065,-0.188,1.648,1.838,-0.168,0.128,0.898,2.48,1.7872884490199112
color_3_1_0.png,2D,1835.0,Apple,3,0.065,0.065,0.065,-0.168,1.801,0.938,-0.068,-0.01,0.328,2.52,1.9126421515798506
color_3_1_0.png,2D,1835.0,Apple,2,0.065,0.065,0.065,0.368,1.801,1.368,0.267,-0.057,0.668,2.66,1.9898743678936117
color_3_1_0.png,2D,1835.0,Apple,1,0.065,0.065,0.065,-0.198,1.801,2.258,-0.068,-0.02,1.228,2.98,2.095280410828107
color_3_8_0.png,2D,1725.0,Apple,3,0.065,0.065,0.065,-0.038,1.691,0.798,-0.068,0.048,0.178,2.29,1.7535392781457735
color_3_8_0.png,2D,1725.0,Apple,2,0.065,0.065,0.065,-0.248,1.691,1.208,-0.267,0.168,0.448,2.3,1.6995293466133499
color_3_8_0.png,2D,1725.0,Apple,1,0.065,0.065,0.065,-0.658,1.691,1.868,-0.468,0.048,0.958,2.74,1.8851525137240221
color_3_7_0.png,2D,1694.0,Apple,3,0.065,0.065,0.065,0.408,1.66,0.968,0.267,0.048,0.257,2.46,1.7651628820026777
color_3_7_0.png,2D,1694.0,Apple,2,0.065,0.065,0.065,0.0,1.66,1.338,0.0,0.138,0.508,2.35,1.7318487231857174
color_3_7_0.png,2D,1694.0,Apple,1,0.065,0.065,0.065,-0.308,1.66,2.088,-0.168,0.158,1.018,2.71,1.847836572860273
color_3_2_0.png,2D,1813.0,Apple,3,0.065,0.065,0.065,0.568,1.779,0.868,0.368,0.04,0.257,2.55,1.8546428227559073
color_3_2_0.png,2D,1813.0,Apple,2,0.065,0.065,0.065,-0.158,1.779,1.448,-0.068,0.318,0.598,2.4,1.6918037711271363
color_3_2_0.png,2D,1813.0,Apple,1,0.065,0.065,0.065,-0.248,1.779,1.997,-0.168,0.208,0.958,2.6900000000000004,1.8849137911321039
color_3_3_0.png,2D,1625.0,Apple,3,0.065,0.065,0.065,0.387,1.591,0.868,0.267,0.068,0.267,2.24,1.6385359318611235
color_3_3_0.png,2D,1625.0,Apple,2,0.065,0.065,0.065,0.218,1.591,1.308,0.068,0.108,0.568,2.37,1.661475248085267
color_3_3_0.png,2D,1625.0,Apple,1,0.065,0.065,0.065,0.518,1.591,1.868,0.368,0.038,0.938,2.6300000000000003,1.8138081486199142
