item,0_0_id,0_0_setup,0_0_d1,0_0_d2,0_0_position,0_0_x,0_0_level,0_0_y,0_0_ydef,0_0_z,0_0_zdef,0_0_camh1,1_1_id,1_1_setup,1_1_d1,1_1_d2,1_1_h,1_1_w,1_1_position,1_1_x,1_1_level,1_1_y,1_1_ydef,1_1_z,1_1_zdef,1_1_camh1,1_2_id,1_2_setup,1_2_d1,1_2_d2,1_2_h,1_2_w,1_2_position,1_2_x,1_2_level,1_2_y,1_2_ydef,1_2_z,1_2_zdef,1_2_camh1,1_3_id,1_3_setup,1_3_d1,1_3_d2,1_3_h,1_3_w,1_3_position,1_3_x,1_3_level,1_3_y,1_3_ydef,1_3_z,1_3_zdef,1_3_camh1,1_4_id,1_4_setup,1_4_d1,1_4_d2,1_4_h,1_4_w,1_4_position,1_4_x,1_4_level,1_4_y,1_4_ydef,1_4_z,1_4_zdef,1_4_camh1,1_5_id,1_5_setup,1_5_d1,1_5_d2,1_5_h,1_5_w,1_5_position,1_5_x,1_5_level,1_5_y,1_5_ydef,1_5_z,1_5_zdef,1_5_camh1,1_6_id,1_6_setup,1_6_d1,1_6_d2,1_6_h,1_6_w,1_6_position,1_6_x,1_6_level,1_6_y,1_6_k,1_6_ydef,1_6_z,1_6_j,1_6_zdef,1_6_camh1,2_1_id,2_1_setup,2_1_d1,2_1_d2,2_1_position,2_1_x,2_1_level,2_1_y,2_1_ydef,2_1_z,2_1_zdef,2_1_camh1,2_1_camh2,2_1_camh3,2_2_id,2_2_setup,2_2_d1,2_2_d2,2_2_h,2_2_w,2_2_position,2_2_x,2_2_level,2_2_y,2_2_ydef,2_2_z,2_2_zdef,2_2_camh1,2_2_camh2,2_2_camh3
1,Tb,2d,65.6,65.6,L,-500,1,2000,1887,1516,1443,1100,1,2d,69.09,67.14,59.79,143.5971,L,-500,1,2000,1887,1516,1443,1100,16,2d,57.18,57.59,52.25,91.8415,L,-500,1,2000,1892,1516,1448,1100,31,2d,48.45,49.16,41.8,54.7851,L,-500,1,2000,1897,1516,1453,1100,31,2d,48.45,49.16,41.8,54.7851,L,-500,1,2000,1897,1516,1453,1100,Tb,2d,65.1789285714286,,,,L,-500,1,2000,1887,1516,1443,1100,Tb,3d,65.1789285714286,,,,L,-500,1,2000,-80,1920,1516,-40,1476,1100,Tb,2d,64.44,64.81,L,-200,2,1700,1588,,,1100,1600,1850,9,2d,64.86,59.94,58.18,117.0969,L,-200,2,1700,1590,,,1100,1600,1850
2,Tb,2d,65.6,65.6,M,0,1,2000,1887,1516,1443,1100,2,2d,64.63,62.05,53.76,113.0503,M,0,1,2000,1890,1516,1446,1100,17,2d,59.32,56.85,50.77,89.3403,M,0,1,2000,1892,1516,1448,1100,32,2d,47.31,47.22,40.08,50.5211,M,0,1,2000,1898,1516,1454,1100,24,2d,59.86,55.96,52.34,89.8144,M,0,1,2000,1892,1516,1448,1100,24,2d,59.86,55.96,52.34,89.8144,M,0,1,2000,1892,1516,1448,1100,24,3d,59.86,55.96,52.34,89.8144,M,0,1,2000,-80,1875,1516,-40,1431,1100,Tb,2d,65.6,64.49,M,0,2,1700,1587,,,1100,1600,1850,15,2d,64.18,63.25,55.56,118.0496,M,0,2,1700,1590,,,1100,1600,1850
3,Tb,2d,65.6,65.6,R,500,1,2000,1887,1516,1443,1100,3,2d,69.87,68.44,63.17,157.5844,R,500,1,2000,1886,1516,1442,1100,18,2d,59.79,57.79,51.98,92.667,R,500,1,2000,1892,1516,1448,1100,33,2d,47.92,46.56,46.39,55.0991,R,500,1,2000,1897,1516,1453,1100,6,2d,61.15,55.79,52.43,102.3003,R,500,1,2000,1892,1516,1448,1100,6,2d,61.15,55.79,52.43,102.3003,R,500,1,2000,1892,1516,1448,1100,6,3d,61.15,55.79,52.43,102.3003,R,500,1,2000,-80,1869,1516,-40,1425,1100,Tb,2d,64.92,65.42,R,200,2,1700,1587,,,1100,1600,1850,13,2d,62.84,61.24,55.47,108.4723,R,200,2,1700,1590,,,1100,1600,1850
4,Tb,2d,65.35,65.81,L,-500,2,1700,1587,1516,1443,1100,4,2d,65.08,63.17,58.31,130.6012,L,-500,2,1700,1589,1516,1445,1100,19,2d,57.87,57.12,52.73,89.9402,L,-500,2,1700,1592,1516,1448,1100,34,2d,50.74,51.59,45.33,66.2254,L,-500,2,1700,1595,1516,1451,1100,12,2d,64.36,61.15,55.79,109.5162,L,-500,2,1700,1590,1516,1446,1100,12,2d,64.36,61.15,55.79,109.5162,L,-500,2,1700,1590,1516,1446,1100,12,3d,64.36,61.15,55.79,109.5162,L,-500,2,1700,-80,1565,1516,-40,1421,1100,Tb,2d,64.2,64.63,L,-200,3,1400,1288,,,1100,1600,1850,12,2d,64.36,61.15,55.79,109.5162,L,-200,3,1400,1290,,,1100,1600,1850
5,Tb,2d,65.35,65.81,M,0,2,1700,1587,1516,1443,1100,5,2d,64.64,63.48,61.45,121.0674,M,0,2,1700,1588,1516,1444,1100,20,2d,56.16,54.94,49.16,84.218,M,0,2,1700,1593,1516,1449,1100,35,2d,53.3,52.74,55.99,82.5313,M,0,2,1700,1593,1516,1449,1100,26,2d,58.82,59.52,52.47,98.093,M,0,2,1700,1592,1516,1448,1100,26,2d,58.82,59.52,52.47,98.093,M,0,2,1700,1592,1516,1448,1100,26,3d,58.82,59.52,52.47,98.093,M,0,2,1700,-80,1571,1516,-40,1427,1100,Tb,2d,64.54,64.37,M,0,3,1400,1288,,,1100,1600,1850,4,2d,65.08,63.17,58.31,130.6012,M,0,3,1400,1289,,,1100,1600,1850
6,Tb,2d,65.35,65.81,R,500,2,1700,1587,1516,1443,1100,6,2d,61.15,55.79,52.43,102.3003,R,500,2,1700,1592,1516,1448,1100,21,2d,60.8,57.9,53.61,102.1343,R,500,2,1700,1591,1516,1447,1100,36,2d,53.7,53.74,53.64,76.568,R,500,2,1700,1593,1516,1449,1100,36,2d,53.7,53.74,53.64,76.568,R,500,2,1700,1593,1516,1449,1100,36,2d,53.7,53.74,53.64,76.568,R,500,2,1700,1593,1516,1449,1100,36,3d,53.7,53.74,53.64,76.568,R,500,2,1700,-80,1582,1516,-40,1438,1100,Tb,2d,64.75,66,R,200,3,1400,1287,,,1100,1600,1850,5,2d,64.64,63.48,61.45,121.0674,R,200,3,1400,1288,,,1100,1600,1850
7,Tb,2d,65.41,65.6,L,-500,3,1400,1287,1516,1443,1100,7,2d,66.58,65.81,58.19,136.3558,L,-500,3,1400,1288,1516,1444,1100,22,2d,61.05,58.45,49.82,93.138,L,-500,3,1400,1292,1516,1448,1100,37,2d,55.68,55.69,50.54,78.6093,L,-500,3,1400,1293,1516,1449,1100,22,2d,61.05,58.45,49.82,93.138,L,-500,3,1400,1292,1516,1448,1100,22,2d,61.05,58.45,49.82,93.138,L,-500,3,1400,1292,1516,1448,1100,22,3d,61.05,58.45,49.82,93.138,L,-500,3,1400,-80,1273,1516,-40,1429,1100,Tb,2d,64.3,64.39,L,-200,4,1100,988,,,1100,1600,1850,3,2d,69.87,68.44,63.17,157.5844,L,-200,4,1100,986,,,1100,1600,1850
8,Tb,2d,65.41,65.6,M,0,3,1400,1287,1516,1443,1100,8,2d,64.66,62.38,55.6,116.6869,M,0,3,1400,1290,1516,1446,1100,23,2d,56.18,55.61,47.73,77.4883,M,0,3,1400,1293,1516,1449,1100,38,2d,55.55,53.74,49.24,74.3113,M,0,3,1400,1294,1516,1450,1100,33,2d,47.92,46.56,46.39,55.0991,M,0,3,1400,1297,1516,1453,1100,Tb,2d,65.1789285714286,,,,M,0,3,1400,1287,1516,1443,1100,Tb,3d,65.1789285714286,,,,M,0,3,1400,-80,1320,1516,-40,1476,1100,Tb,2d,64.78,65.56,M,0,4,1100,987,,,1100,1600,1850,6,2d,61.15,55.79,52.43,102.3003,M,0,4,1100,992,,,1100,1600,1850
9,Tb,2d,65.41,65.6,R,500,3,1400,1287,1516,1443,1100,9,2d,64.86,59.94,58.18,117.0969,R,500,3,1400,1290,1516,1446,1100,24,2d,59.86,55.96,52.34,89.8144,R,500,3,1400,1292,1516,1448,1100,39,2d,50.8,51.76,51.07,70.8014,R,500,3,1400,1294,1516,1450,1100,15,2d,64.18,63.25,55.56,118.0496,R,500,3,1400,1290,1516,1446,1100,15,2d,64.18,63.25,55.56,118.0496,R,500,3,1400,1290,1516,1446,1100,15,3d,64.18,63.25,55.56,118.0496,R,500,3,1400,-80,1261,1516,-40,1417,1100,Tb,2d,65.15,65.81,R,200,4,1100,987,,,1100,1600,1850,14,2d,64.12,64.31,59.33,117.4263,R,200,4,1100,989,,,1100,1600,1850
10,Tb,2d,65.62,65.7,L,-500,4,1100,987,1516,1443,1100,10,2d,63.36,59.15,55.07,105.376,L,-500,4,1100,990,1516,1446,1100,25,2d,58.11,57.33,50.54,89.4109,L,-500,4,1100,992,1516,1448,1100,40,2d,49.53,47.05,44.03,55.4638,L,-500,4,1100,997,1516,1453,1100,40,2d,49.53,47.05,44.03,55.4638,L,-500,4,1100,997,1516,1453,1100,40,2d,49.53,47.05,44.03,55.4638,L,-500,4,1100,997,1516,1453,1100,40,3d,49.53,47.05,44.03,55.4638,L,-500,4,1100,-80,992,1516,-40,1448,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
